
BAR-BCL2-CASP8 complex	596 841 51283 
p27-cyclinE-Cdk2 - Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1) complex	898 1017 1027 732142 9978 6500 6502 8454 
BRCA1-cABL complex	25 672 
ATR-HDAC2 complex	651921 3066 
FA complex (Fanconi anemia complex)	2189 2175 6117 641 2176 7156 2187 80010 2178 2188 55120 
KIN17-PCNA-RPA70 complex	22944 5111 6117 
LSm2-8 complex	51691 648229 11157 51690 57819 23658 25804 
ABIN2-NFKB1-MAP3K8 complex	4790 1326 79155 
APP-TOMM40 complex	10452 351 
BRCA1-RAD51 complex	672 5888 
BRCA1-IRIS-pre-replication complex	51053 4998 672 990 
PAR3-PAR6-PALS1 complex	64398 56288 50855 
BRCA1-HDAC1-HDAC2 complex	672 3065 3066 
Cohesin-SA1 complex	5885 8243 10274 9126 
DNA synthesome complex (17 subunits)	5422 7150 5111 6117 5424 5981 5425 5557 5558 5427 5426 23649 10714 57804 56655 54107 7153 7155 
NELF complex (Negative elongation factor complex)	7936 51497 25920 7469 
AR coactivator complex	10419 1207 79084 
20S methylosome-SmD complex	10419 1207 6632 6634 
TIM (TIMM9, TIMM10) complex, mitochondrial	26519 26520 
Ku antigen-YY1-alphaMyHC promoter complex	389901 7520 7528 
gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)	5663 23385 51107 55851 
Mediator complex	219541 9443 9282 9862 10001 9441 892 1024 9412 6837 5469 9442 23389 81857 9968 112950 90390 51586 84246 54797 23097 80306 9477 29079 9440 55090 55588 400569 9969 9439 10025 51003 
BCOR complex	3312 6500 6015 23429 84678 6045 84759 
PCNA-MSH2-MSH6 complex	5111 4436 2956 
Gamma-BAR-AP1 complex	164 8906 8905 1174 162 55435 8907 10053 
PA700-20S-PA28 complex	5717 5718 5715 10213 5688 5709 5716 5702 5689 5682 5683 5684 5685 5686 5692 5694 5693 5701 652826 5714 5691 5690 5713 5710 5687 5700 5705 5706 5720 5708 9861 5711 5695 5707 5721 5719 
P-TEFb.1 complex	904 1025 
Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)	9978 8451 8450 652672 1643 
H2AX complex II	440577 3309 3014 8531 811 3018 554313 128312 55037 8342 
ITGAV-ITGB6-SPP1 complex	3685 6696 3694 
TFIIE complex	2960 2961 
DSIF complex (DRB sensitivity-inducing factor complex)	6829 6827 
Respiratory chain complex I (incomplete NDUFAF1 assembly), mitochondrial	4535 51103 
TGF-beta-receptor type II homodimer complex	7048 
mTORC2 complex (mTOR/FRAP1, LST8, mAVO3/RICTOR)	2475 253260 64223 
SCRIB-APC complex	324 23513 
ITGA6-ITGB1 complex	3688 3655 
YY1-Notch1-RBP-Jkappa complex	7528 4851 3516 
PAX6-SOX2 DNA-protein complex	5080 6657 
SRA-SRC-1 ribonucleoprotein complex	8648 10011 
APP-TIMM23 complex	10431 351 
Artemis-DNA-PK complex	5591 64421 
AP3 adapter complex	8546 8943 10947 10239 8120 730730 26985 
SNARE complex (VAMP4, STX6, STX16, VTI1a, VTI1b)	8675 10228 8674 143187 10490 
BRG1-SIN3A complex	8289 10419 86 6597 648695 6598 6604 6601 3066 6599 6603 6605 6602 25942 
CAND1-CUL4B-RBX1 complex	9978 8450 55832 
Apoptosome	317 54205 
SHC-GRB2 complex	6464 2885 
Gamma-secretase complex (APH1B, PSEN2, PSENEN, NCSTN)	5664 83464 23385 55851 
ITGA6-ITGB4-FYN complex	2534 3691 3655 
Ribosome, cytoplasmic	6176 6181 6175 6218 653162 6187 651825 6129 6139 6188 651894 6137 647074 652036 6133 645231 6124 731572 653881 23521 6232 11224 6157 647436 730700 6158 6203 6193 732348 6159 731916 9045 6224 6189 730343 730925 6155 6168 6167 6201 642115 644790 6217 6208 6228 732299 647361 645630 6205 650992 6191 652071 6194 9349 732104 6229 6230 647682 650788 2197 6156 6170 732015 4736 652162 6135 6132 6171 732088 7311 6169 6227 6152 731645 653314 6142 646483 6141 651453 6192 140032 
SKI complex	6499 9652 80349 
PXN-ITGB5-PTK2 complex	3693 5829 5747 
Telosome complex	7013 7014 65057 26277 25913 54386 
ING5 complex	11143 23774 7862 79960 23522 727773 9767 7994 64769 23338 27154 
RBPJ-NotchIC-Mastermind complex	4851 3516 9794 
TRF1 telomere length regulation complex	8658 7013 26277 
RNA pol II containing coactivator complex Tat-SF	6829 27336 4691 5430 
Casein kinase II complex	1459 1460 1457 
p56(LCK)-CAML complex	3932 819 
SNX complex (SNX1a, SNX2, SNX4, TFRC)	6643 8723 7037 6642 
THO complex	8563 80145 79228 57187 9984 
RNA polymerase II core complex	5433 5432 5434 5430 5431 5438 5437 5439 5440 5435 5436 5441 
SMAD2-SMAD4-FAST1 complex	8928 4089 4087 
VAM1-VELI1 complex	8825 51678 
PIDDsome complex	835 8738 55367 
Multisynthetase complex	9521 2058 1615 3376 5859 5917 4141 9255 7965 3735 51520 
Cell cycle kinase complex CDK2	5111 595 1017 1026 
Cell cycle kinase complex CDK5	5111 595 896 1026 1020 
Cell cycle kinase complex CDK4	1019 5111 595 1026 
SNARE complex (STX4, VAMP8, VAMP3, SNAP23)	8773 6810 9341 8673 
ITGA4-ITGB1-CD81 complex	3688 3676 975 
ITGAV-ITGB3-THBS1 complex	3690 3685 7057 
FOXO3-PCAF complex, oxidative stress stimulated	2309 8850 
SNARE complex (VAMP2, SNAP25, STX1a, CPLX3, CPLX4)	6616 6844 6804 339302 594855 
TGF-beta receptor II-TGF-beta receptor I-TGF-beta1 complex	7040 7046 7048 
SNARE complex (VAMP2, SNAP25, STX1a, CPLX1, CPLX3)	10815 6616 6844 6804 594855 
MRN complex (MRE11-RAD50-NBN complex)	4683 4361 10111 
ITGA6-ITGB1-CYR61 complex	3491 3688 3655 
ITGB5-ITGAV-VTN complex	7448 3685 3693 
PIAS3-SMAD3-P300 complex	4088 2033 10401 
RIAM-profilin complex	5216 54518 
CRM1-RAN-PHAX-CBC complex (cap binding complex)	7514 22916 5901 4686 51808 
CTF18-CTF8-DCC1-RFC3 complex	5983 54921 63922 79075 
Amyloid beta protein oligomer	351 
TFIID complex	6874 6908 6872 6878 6881 6877 6884 6882 6879 6883 6880 8148 
SNARE complex (SNAP25, VAMP3, VAMP2, NAPB, STX13)	6616 6844 9341 23673 63908 
20S proteasome	5688 5689 5682 5683 5684 5685 5686 5692 5694 5693 5691 5690 5687 5695 
TFIIIC containing complex	2976 9329 9328 9330 
SMAD3-E2F4/5-p107-DP1 complex	5933 4088 441488 1875 1874 
Exon junction complex	9775 4116 7919 731091 10189 10250 65109 9939 
Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)	1478 1477 29894 1479 8189 53981 51692 
EGFR-CBL-GRB2 complex	1956 867 2885 
RAD17-RFC complex	5884 5984 5982 5985 5983 
cofilin-actin-CAP1 complex	1072 60 10487 
RasGAP-AURKA/AURKB-survivin complex	332 5921 6790 9212 
ITGAV-ITGB6-TGFB3 complex	3685 7043 3694 
PA28	5720 5721 
MSH2-MSH6-PMS1-MLH1 complex	4292 4436 2956 5378 
XFIM complex	23028 732437 3065 9203 3066 
TRPC1-TRPC3-TRPC7 complex	7220 7222 57113 
TGF-beta receptor II-TGF-beta receptor I-TGF-beta3 complex	7043 7046 7048 
APC-Axin-1-beta-catenin complex	8312 324 1499 
CAND1-CUL3-RBX1 complex	9978 8452 55832 
ITGA9-ITGB1-VEGFC complex	3688 7424 3680 
Paf complex	79577 9646 123169 80349 54623 
Notch1-p56lck-PI3K complex	3932 5295 4851 
DGCR8-ILF3 complex	3609 54487 
ASCOM complex	8085 652025 7277 23054 5929 645159 9070 
Menin-associated histone methyltransferase complex	4221 5431 11091 5929 84661 9070 9757 
CTLH complex	730744 25852 10048 64795 4289 
Ubiquitin E3 ligase (CHEK1, CUL4A)	1111 8451 
Beta-dystroglycan-caveolin-3 complex	859 1605 
CEN complex	8467 1059 3309 3312 2091 648 1058 9493 1060 6015 6749 653972 8451 9589 652672 22837 23091 25962 79948 79682 91687 9688 79801 9785 2491 80829 51773 6045 64105 79172 51593 55717 29127 64946 57332 79019 11198 
BCL10-MALT1 complex	646626 10892 
ITGA9-ITGB1-ADAM9 complex	3688 8754 3680 
Prolactin (PRL) - PRL receptor (PRLR) complex	5617 5618 
BMP2-BRIA complex	650 652 657 
TERF2-RAP1 complex	389901 7520 4361 7014 10111 26277 54386 
SMRT-SKIP-CBF1 complex	3516 22938 9612 
FACT-NEK9 complex	6749 91754 11198 
MDC1-MRN-ATM-FANCD2 complex	4683 4361 651610 9656 10111 2177 
Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)	332 55143 9212 3619 
CBC complex (cap binding complex)	22916 4686 
CCND3-CDK4 complex	1019 896 
SCRIB-VANGL2 complex	23513 57216 
URI complex (Unconventional prefoldin RPB5 Interactor)	8725 5434 6500 6502 8454 5202 26228 10856 8607 
CD8A-LCK complex	925 3932 
SNX complex (SNX1,1a,2,4, PDGF receptor)	6643 8723 5156 6642 
CCND2-CDK4 complex	1019 894 
PLC-gamma-2-LAT complex	27040 5336 
39S ribosomal subunit, mitochondrial	9553 11222 9801 6182 114294 10573 740 6150 51258 28977 116541 64928 219927 128308 124995 122704 64975 54534 84545 51263 79590 64978 116540 51642 51069 64981 84311 64983 55052 28998 65005 51073 65008 51253 29074 26589 65080 57129 64976 63875 29093 54948 54148 51318 29088 64979 51264 65003 
Polycomb repressive complex 2 (PRC2)	8726 648695 23512 2146 5931 
Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	6643 9559 6642 55737 51699 
SMAD3-SMAD4-FOXO3 complex	2309 4088 4089 
MAD-MAX complex	4149 4084 
Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)	649647 6923 8065 9616 51665 
SMAD3-SMAD4-cJun-cFos complex	2353 3725 4088 4089 
SRm160/300 complex	6625 6627 6434 10250 23524 
AP3-BLOC1 complex	8546 8943 23557 10947 10239 2647 8120 388552 282991 63915 730730 84062 55330 26258 26985 
BASC complex (BRCA1-associated genome surveillance complex)	4683 5984 5982 5981 672 4292 4436 4361 2956 641 651610 10111 
TAJ-NgR1-LINGO-1 signaling complex	84894 65078 55504 
CRSP-Mediator 2 complex	9443 9282 9862 10001 51586 54797 29079 9440 9439 10025 
SNARE complex (SNAP23, STX1A)	8773 6804 
ESR1-RELA-BCL3-NCOA3 complex	2099 602 5970 8202 
ITGB3-ITGAV-VTN complex	7448 3690 3685 
AGPS-GNPAT complex	8540 8443 
Ecsit complex (ECSIT, NDUFS3, NDUFAF1)	4722 51295 51103 
RAD51B-RAD51C complex	5890 5889 
p33ING1b-PCNA complex	9768 3621 
Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)	9978 6500 8454 80204 
Succinyl-CoA synthetase, ADP-forming	8802 646520 
BRCA1-RNA polymerase II complex	5433 2963 2068 5432 5434 2071 6908 5430 2960 2961 5431 2965 2962 5438 672 5437 5439 5440 5435 5436 5441 2959 9412 653238 2967 2968 
SNARE complex (STX4, SNAP23)	8773 6810 
Meprin A	4224 4225 
Oligosaccharyltransferase complex (Stt3B variant)	6184 6185 1650 1603 7991 201595 84061 
ITGA2b-ITGB3-CD9-GP1b-CD47 complex	3690 3674 928 961 2811 2812 
Arp2/3 protein complex	653888 10109 10094 10092 10093 10096 10097 
LRP-1-Alpha-2-M-annexin VI complex	2 309 4035 
RANBPM-SMP1 complex	23585 10048 
BCL10 oligomer complex	646626 
BRCA1-BARD1-UbcH7c complex	672 7332 580 
BRCA1-LMO4-CTIP complex	672 8543 5932 
MR-UBC9-SRC1 complex	4306 24674 8648 
HCF-1 complex	9739 8473 23309 8819 6667 3309 3312 3308 3054 11091 648695 3065 5931 3066 25942 64426 9070 3320 644816 
NFAT-JUN-FOS DNA-protein complex	2353 3725 4773 
Notch2(N-TM)-Notch2(N-EC)-Delta complex	4853 28514 54567 10683 
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	6908 55814 2976 2971 2972 9329 9328 9330 
Upf complex (UPF1, UPF2, UPF3b)	5976 65109 26019 
Casein kinase II-HMG1 complex	3146 1459 1460 1457 
TRAF6-MALT1 complex	10892 7189 
PA28gamma-20S proteasome	5688 5689 5682 5683 5684 5685 5686 5692 5694 5693 5691 5690 5687 10197 5695 
BP-SMAD complex	19182 21847 13872 7045 
N-CoR-SIN3-HDAC1 complex	3065 25942 9612 
MAD2-CDC20 complex	991 4085 
Alpha-dystrobrevin-ZO-1-actin complex	7082 1837 60 71 
Mi2/NuRD complex	9219 53615 648695 3065 1108 5931 3066 
SP1-MCAF2 complex	6667 80063 
MeCP1 complex	9219 53615 648695 3065 1108 5931 57459 3066 8932 
DNA ligase IV-XRCC4-PNK complex	3981 7518 11284 
